projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color,translated_occupation,occupation
-0.225388741,1934,الجندية,جندي,-0.064266694,0.2896554351761304,جندية-جندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.926874279123414, 0.5780853517877739, 0.4568242983467896, 1.0)",Soldier,ﻱﺪﻨﺟ-ﺔﻳﺪﻨﺟ
-0.142250996,1934,الكاتبة,كاتب,-0.075756545,0.2180075411749341,كاتبة-كاتب,ﺐﺗﺎﻜﻟﺍ-ﺔﺒﺗﺎﻜﻟﺍ,"(0.9769319492502884, 0.7674740484429066, 0.6636678200692041, 1.0)",Writer,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ
-0.123029446,1935,الكاتبة,كاتب,-0.183746312,0.3067757579123554,كاتبة-كاتب,ﺐﺗﺎﻜﻟﺍ-ﺔﺒﺗﺎﻜﻟﺍ,"(0.9838523644752019, 0.8089965397923875, 0.7167243367935409, 1.0)",Writer,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ
-0.115494956,1935,الجندية,جندي,-0.130514593,0.2460095495421478,جندية-جندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.9866205305651673, 0.8256055363321797, 0.7379469434832755, 1.0)",Soldier,ﻱﺪﻨﺟ-ﺔﻳﺪﻨﺟ
0.1202598847785987,1936,الكاتبة,كاتب,-0.186912235,0.06665235,كاتبة-كاتب,ﺐﺗﺎﻜﻟﺍ-ﺔﺒﺗﺎﻜﻟﺍ,"(0.7711649365628607, 0.8734332948865823, 0.9273356401384084, 1.0)",Writer,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ
-0.073980871,1938,الكاتبة,كاتب,-0.075710901,0.1496917720016433,كاتبة-كاتب,ﺐﺗﺎﻜﻟﺍ-ﺔﺒﺗﺎﻜﻟﺍ,"(0.9856978085351787, 0.8889657823913879, 0.8320645905420992, 1.0)",Writer,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ
-0.047276137,1938,الجندية,جندي,-0.125593223,0.1728693601392696,جندية-جندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.980161476355248, 0.914801999231065, 0.8763552479815455, 1.0)",Soldier,ﻱﺪﻨﺟ-ﺔﻳﺪﻨﺟ
-0.032283834,1938,شاعرة,شاعر,-0.090492063,0.1227758968048874,شاعرة-شاعر,ﺮﻋﺎﺷ-ﺓﺮﻋﺎﺷ,"(0.9764705882352941, 0.9320261437908497, 0.9058823529411765, 1.0)",Poet,ﺮﻋﺎﺷ-ﺓﺮﻋﺎﺷ
-0.058312062,1940,الجندية,جندي,0.1558863703959148,0.2141984321056439,جندية-جندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.982006920415225, 0.9061899269511726, 0.8615916955017301, 1.0)",Soldier,ﻱﺪﻨﺟ-ﺔﻳﺪﻨﺟ
-0.141397301,1941,الجندية,جندي,0.07800529,0.2194025908268807,جندية-جندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.9769319492502884, 0.7674740484429066, 0.6636678200692041, 1.0)",Soldier,ﻱﺪﻨﺟ-ﺔﻳﺪﻨﺟ
-0.034184758,1942,الجندية,جندي,0.2602794762623622,0.2944642346948207,جندية-جندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.9764705882352941, 0.9320261437908497, 0.9058823529411765, 1.0)",Soldier,ﻱﺪﻨﺟ-ﺔﻳﺪﻨﺟ
