projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color,translated_occupation,occupation
0.1338184588980159,1974,كاتبة,كاتب,0.3009079789189511,-0.16708952,كاتبة-كاتب,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ,"(0.7324106113033451, 0.8537485582468283, 0.9162629757785468, 1.0)",Writer,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ
0.1953481009457351,1974,الدكتورة,دكتور,0.271818483,0.076470382,دكتورة-دكتور,ﺭﻮﺘﻛﺪﻟﺍ-ﺓﺭﻮﺘﻛﺪﻟﺍ,"(0.5773933102652828, 0.7750096116878126, 0.8719723183391004, 1.0)",Doctor,ﺭﻮﺘﻛﺩ-ﺓﺭﻮﺘﻛﺩ
0.3353782480051964,1974,نائبة,نائب,0.375903762,0.040525514,نائبة-نائب,ﺐﺋﺎﻧ-ﺔﺒﺋﺎﻧ,"(0.21568627450980393, 0.5141868512110727, 0.7328719723183391, 1.0)",Deputy,ﺐﺋﺎﻧ-ﺔﺒﺋﺎﻧ
0.3462658041238695,1974,الشاعرة,شاعر,0.4068577765131731,-0.060591972,شاعرة-شاعر,ﺮﻋﺎﺸﻟﺍ-ﺓﺮﻋﺎﺸﻟﺍ,"(0.2, 0.4934256055363322, 0.7222606689734717, 1.0)",Poet,ﺮﻋﺎﺷ-ﺓﺮﻋﺎﺷ
0.046919843,1975,الكاتبة,كاتب,-0.217380351,0.1704605079074225,كاتبة-كاتب,ﺐﺗﺎﻜﻟﺍ-ﺔﺒﺗﺎﻜﻟﺍ,"(0.8955786236063054, 0.9340253748558247, 0.9551710880430604, 1.0)",Writer,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ
0.2010061024578402,1975,الجندية,جندي,-0.288877599,0.087871496,جندية-جندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.5664744329104193, 0.7687043444828915, 0.8685121107266437, 1.0)",Soldier,ﻱﺪﻨﺟ-ﺔﻳﺪﻨﺟ
0.2032162408148221,1975,الدكتورة,دكتور,-0.276724237,-0.073507997,دكتورة-دكتور,ﺭﻮﺘﻛﺪﻟﺍ-ﺓﺭﻮﺘﻛﺪﻟﺍ,"(0.5543252595155715, 0.7610149942329878, 0.8643598615916958, 1.0)",Doctor,ﺭﻮﺘﻛﺩ-ﺓﺭﻮﺘﻛﺩ
-0.105985386,1976,كاتبة,كاتب,0.090461602,-0.196446988,كاتبة-كاتب,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ,"(0.9893886966551326, 0.8422145328719722, 0.7591695501730104, 1.0)",Writer,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ
0.2358644114616679,1976,الدكتورة,دكتور,0.3576601566521711,-0.121795745,دكتورة-دكتور,ﺭﻮﺘﻛﺪﻟﺍ-ﺓﺭﻮﺘﻛﺪﻟﺍ,"(0.45713187235678604, 0.6995001922337564, 0.8311418685121108, 1.0)",Doctor,ﺭﻮﺘﻛﺩ-ﺓﺭﻮﺘﻛﺩ
0.051140409,1977,الباحثة,باحث,0.2910410322943286,-0.239900624,باحثة-باحث,ﺚﺣﺎﺒﻟﺍ-ﺔﺜﺣﺎﺒﻟﺍ,"(0.8897347174163783, 0.9312572087658594, 0.9540945790080738, 1.0)",Researcher,ﺚﺣﺎﺑ-ﺔﺜﺣﺎﺑ
0.076796755,1977,الطبيبة,طبيب,0.3459929939717087,-0.269196239,طبيبة-طبيب,ﺐﻴﺒﻄﻟﺍ-ﺔﺒﻴﺒﻄﻟﺍ,"(0.8546712802768167, 0.914648212226067, 0.9476355247981546, 1.0)",Doctor,ﺐﻴﺒﻃ-ﺔﺒﻴﺒﻃ
